100,0,1,1444,85,1,0,0,0
200,1,1,1444,162,0,0,0,0
300,4,1,1444,240,0,0,0,0
400,15,1,1444,313,0,0,0,0
500,16,1,1444,387,0,0,0,0
600,7,1,1443,24,343,0,1,0
700,22,1,1443,83,398,0,0,0
800,22,1,1443,179,389,0,0,1
900,16,1,1443,227,410,0,0,0
1000,20,1,1443,346,365,0,0,0
1100,23,1,1443,424,340,0,0,1
1200,12,1,1442,43,475,226,0,0
1300,17,1,1442,57,596,243,1,0
1400,16,1,1442,105,599,230,0,1
1500,48,1,1441,108,158,559,167,1
1600,18,1,1441,67,230,643,186,1
1700,34,1,1440,69,183,192,503,126
1800,26,1,1439,4,68,151,194,427
1900,34,1,1439,43,112,227,266,521
2000,15,1,1438,31,68,151,213,242
2100,26,1,1437,36,79,115,157,137
2200,26,1,1436,16,67,88,114,127
2300,22,1,1435,9,53,72,88,123
2400,28,1,1434,30,55,54,89,83
2500,33,1,1433,30,42,53,74,80
2600,43,1,1431,20,35,42,59,50
2700,59,1,1429,4,35,34,59,74
2800,71,1,1427,4,19,12,33,42
2900,42,1,1425,21,11,32,29,37
3000,51,1,1423,23,20,21,28,41
3100,58,1,1420,8,11,23,16,26
3200,56,1,1417,14,13,15,16,17
3300,85,1,1414,7,12,7,14,15
3400,56,1,1410,6,12,19,19,17
3500,53,1,1407,16,12,14,18,21
3600,55,1,1403,15,16,24,16,9
3700,60,1,1398,9,18,11,13,13
3800,62,1,1393,18,11,12,11,12
3900,51,1,1388,13,10,4,5,11
4000,35,1,1382,6,5,9,4,3
4100,35,1,1376,3,5,8,5,3
4200,39,1,1370,3,5,2,7,1
4300,31,1,1363,7,1,4,1,6
4400,33,1,1355,3,1,2,4,3
4500,46,1,1348,2,4,4,3,2
4600,38,1,1339,5,1,1,2,2
4700,36,1,1330,1,2,0,0,6
4800,49,1,1321,2,3,2,2,10
4900,21,1,1312,6,3,2,5,8
5000,16,1,1301,5,11,9,11,9
5100,6,1,1291,3,4,3,5,2
5200,40,1,1280,2,0,2,0,3
5300,32,1,1269,4,4,1,2,3
5400,33,1,1257,3,2,0,1,3
5500,25,1,1246,1,0,1,0,5
5600,31,1,1234,4,3,1,1,3
5700,27,1,1222,2,2,4,4,2
5800,6,1,1210,2,6,2,0,4
5900,6,1,1198,2,3,0,0,0
6000,7,1,1186,2,7,3,3,1
6100,6,1,1175,6,1,2,0,1
6200,19,1,1163,5,0,4,2,3
6300,16,1,1152,3,6,2,2,3
6400,12,1,1141,2,5,0,2,7
6500,36,1,1131,6,0,1,1,0
6600,50,1,515,5,6,0,0,0
6700,45,1,515,21,1,0,1,0
6800,45,1,515,31,1,0,0,0
6900,53,1,514,25,15,3,0,1
7000,40,1,514,38,20,0,0,0
7100,17,1,513,12,18,11,1,0
7200,16,1,513,30,17,20,4,0
7300,14,1,513,40,31,16,2,0
7400,34,1,512,16,25,13,12,1
7500,20,1,512,30,23,14,21,6
7600,23,1,512,32,20,35,22,0
7700,54,1,511,10,14,9,6,32
7800,60,1,255,1,0,0,0,0
7900,53,1,127,19,23,8,9,8
8000,37,1,127,5,0,0,0,0
8100,74,0,127,6,0,0,0,0
8200,64,0,127,9,5,2,0,0
8300,59,0,127,9,0,0,0,0
8400,36,0,127,13,0,0,0,0
8500,57,0,127,11,0,0,0,0
8600,25,0,127,13,0,0,0,0
8700,63,0,127,20,0,0,0,0
8800,49,0,127,16,0,0,0,0
8900,63,0,127,15,0,0,0,0
9000,93,0,127,19,0,0,0,0
9100,70,0,127,29,0,0,0,0
9200,94,0,127,24,0,0,0,0
9300,94,0,127,25,0,0,0,0
9400,90,0,127,31,0,0,0,0
9500,95,1,127,25,0,0,0,0
9600,77,0,127,36,0,0,0,0
9700,85,0,127,32,0,0,0,0
9800,66,0,127,49,0,0,0,0
9900,73,0,127,39,0,0,0,0
10000,89,0,127,45,0,0,0,0
10100,75,0,127,39,0,0,0,0
10200,103,0,127,56,0,0,0,0
10300,116,0,127,61,0,0,0,0
10400,119,0,127,38,0,0,0,0
10500,106,0,127,45,0,0,0,0
10600,124,0,127,51,0,0,0,0
10700,123,0,127,53,0,0,0,0
10800,121,0,127,58,0,0,0,0
10900,134,0,127,70,0,0,0,0
11000,113,0,127,67,0,0,0,0
11100,138,0,127,61,0,0,0,0
11200,155,0,127,59,0,0,0,0
11300,158,0,127,47,0,0,0,0
11400,128,0,127,52,0,0,0,0
11500,129,0,127,33,0,0,0,0
11600,128,0,127,56,0,0,0,0
11700,160,1,127,63,0,0,0,0
11800,132,1,127,51,0,0,0,0
11900,128,1,127,78,0,0,0,0
12000,124,1,127,74,0,0,0,0
12100,141,1,127,77,0,0,0,0
12200,182,1,127,83,0,0,0,0
12300,171,1,127,100,0,0,0,0
12400,166,1,127,108,0,0,0,0
12500,150,1,127,122,0,0,0,0
12600,161,1,127,85,0,0,0,0
12700,162,1,127,109,0,0,0,0
12800,117,1,127,110,0,0,0,0
12900,156,1,127,82,0,0,0,0
13000,146,1,127,109,0,0,0,0
13100,128,1,127,117,0,0,0,0
13200,144,1,127,99,0,0,0,0
13300,133,1,127,101,0,0,0,0
13400,137,1,127,119,0,0,0,0
13500,143,1,127,117,0,0,0,0
13600,130,1,127,106,0,0,0,0
13700,141,0,127,110,0,0,0,0
13800,128,1,127,131,0,0,0,0
13900,147,1,63,11,0,0,0,0
14000,136,1,63,55,0,0,0,0
14100,110,1,63,4,0,0,0,0
14200,99,1,31,2,0,0,0,0
14300,100,1,31,39,0,0,0,0
14400,91,1,15,2,0,0,0,0
14500,74,1,7,2,0,0,0,0
14600,95,0,7,11,0,0,0,0
14700,94,0,31,5,0,0,0,0
14800,96,0,31,6,0,0,0,0
14900,77,0,31,5,0,0,0,0
15000,75,0,15,1,0,0,0,0
15100,48,0,15,6,0,0,0,0
15200,46,0,7,5,0,0,0,0
15300,59,0,15,9,0,0,0,0
15400,113,0,31,3,0,0,0,0
15500,79,0,15,6,0,0,0,0
15600,104,0,31,5,0,0,0,0
15700,88,0,31,3,0,0,0,0
15800,104,0,15,7,0,0,0,0
15900,80,0,15,2,0,0,0,0
16000,107,0,7,7,0,0,0,0
16100,114,0,7,20,0,0,0,0
16200,89,0,15,12,0,0,0,0
16300,112,0,15,9,0,0,0,0
16400,111,0,31,6,0,0,0,0
16500,120,0,31,5,0,0,0,0
16600,112,0,15,4,0,0,0,0
16700,108,0,31,2,0,0,0,0
16800,106,0,15,11,0,0,0,0
16900,104,0,7,4,0,0,0,0
17000,109,0,31,22,0,0,0,0
17100,119,0,31,8,0,0,0,0
17200,131,0,63,9,0,0,0,0
17300,140,0,63,21,0,0,0,0
17400,133,0,15,3,0,0,0,0
17500,172,0,15,2,0,0,0,0
17600,134,0,7,3,0,0,0,0
17700,137,1,3,8,0,0,0,0
17800,155,0,15,18,0,0,0,0
17900,169,0,31,5,0,0,0,0
18000,216,0,31,7,0,0,0,0
18100,221,0,31,15,0,0,0,0
18200,195,0,31,4,0,0,0,0
18300,215,0,31,19,0,0,0,0
18400,217,0,63,15,0,0,0,0
18500,248,0,31,9,0,0,0,0
18600,258,0,15,9,0,0,0,0
18700,274,0,7,10,0,0,0,0
